SMILES,clogp,qed,sas,mw
,0.0,0.33942358984550913,,0.0
CCc1ccc(C(=O)NCCCC[NH+]2C[C@@H](C)C[C@H](C)C2)cc1[N+](=O)[O-],2.2279999999999998,0.42290643082320223,4.0676089190755,362.24381830409
Cc1ccsc1C(=O)N[C@H]1CC[C@H]2CC[C@H]1[NH+]2CC(C)(C)C,2.4107199999999995,0.8805914835218964,5.523650220292858,321.19951096809
CCCCN(C(=O)c1cccc(NC(=O)CCCc2cccs2)c1)[C@H]1CCS(=O)(=O)C1,4.138900000000003,0.5751963627446575,2.8490894668294473,462.16469944
,0.0,0.33942358984550913,,0.0
Cc1cc(=O)oc(C)c1C(=O)NCCOc1ncc(Cl)cc1Cl,2.767240000000001,0.8325609373584194,2.442698014732075,356.033062288
,0.0,0.33942358984550913,,0.0
CON(C)C(=O)c1ccc(F)c(Nc2cnc(C)c(Br)c2)c1,3.6686200000000024,0.8372135212795778,2.481842587955988,367.03316704
COC[C@H](NC(=O)c1ccnn1CCc1ccccc1)c1ccc(F)cc1,3.3824000000000014,0.6640263709920768,2.624685837491109,367.16960516399996
,0.0,0.33942358984550913,,0.0
CCCOc1cccc(CNC(=O)CNC(=O)OC)c1,1.4475999999999998,0.7922209573262949,1.8325300811057232,280.14230712
OCc1ccccc1C[C@@H]1CCC[NH+](C[C@H]2C[NH+](Cc3ccccc3)CCCO2)C1,0.8903000000000032,0.6344252004895732,5.076620054299386,410.2922312961799
Cc1cnc([C@@H](NC(=O)C(=O)N[C@@H](C)c2c(C)cccc2C)C2CC2)s1,3.513060000000002,0.7902520531910452,3.4762870880895855,371.16674804
CN(C(=O)CCC[NH+](C)C)[C@H]1CC[NH+](Cc2cnon2)C1,-2.390099999999994,0.589259571130307,5.849694432051833,297.21537794418003
Cc1cc(C[NH+]2CCN(S(=O)(=O)c3cnn(C4CCOCC4)c3)CC2)no1,-0.3795799999999976,0.7404601992446371,3.8068839500037015,396.17000173209
O=C(CN1C(=O)[C@H]2[C@H](C1=O)[C@H]1C=C[C@H]2C1)N(Cc1ccccc1Cl)C[C@H]1CCCO1,2.654700000000001,0.5157646656545065,4.422781937836506,428.15028496
